LOC100693400	LG8_24:5686064-5688370
LOC100703113	UNK56:401883-409249
LOC102080593	LG23:12756961-12759143
LOC102083159	UNK335:81250-83937
LOC100701267	LG1:14121358-14125501
LOC100690860	LG12:15181454-15183386
LOC100690976	UNK361:61709-117135
LOC100707369	LG10:1989631-2000186
LOC100696035	LG7:11437870-11440079
tshz3	LG7:47103807-47120090
LOC102082700	LG10:1584015-1595078
LOC100699813	LG8_24:17566426-17579456
LOC102082917	UNK694:10937-12542
LOC100705094	UNK26:1255407-1272329
LOC100697685	LG12:8628488-8658516
numb	LG19:10176146-10219239
LOC100693720	UNK14:1020073-1069002
mbtd1	LG8_24:2841350-2864307
LOC100694096	LG12:25722217-25737648
LOC100692714,LOC100702188	LG6:20354754-20437699
gpcpd1	LG15:22570978-22585092
plcg2	LG7:2692349-2738189
LOC102078994,LOC102079163,LOC102079065,LOC102078897	LG13:6708295-6754903
LOC100711616	LG11:27972733-28002879
LOC102081168	UNK113:186685-226516
LOC102079838	UNK244:55880-62811
LOC100534570,LOC100534471,LOC100534464,LOC100690927,LOC100690656,LOC100690382	LG20:24837003-24884841
LOC102078554	UNK91:631492-631976
LOC102082266	LG22:2574662-2595322
LOC100696136	UNK41:393707-396569
LOC100689892	LG1:28267325-28284812
LOC102078115	UNK3219:524-1626
LOC100710409	LG5:21386201-21396147
LOC100702878	LG13:11886557-11918913
LOC100702706	LG5:10755269-10757841
LOC102075761	LG19:24400127-24420024
LOC102076183	LG6:15977951-15980291
LOC100694326	LG2:12342628-12346936
LOC100708098	LG14:16572751-16580840
LOC100710018	UNK128:115364-118607
LOC100699197	LG13:29009631-29030297
LOC100704745	LG8_24:13304806-13334668
LOC102077309	UNK790:4208-8791
LOC102077788	LG5:9778-11356
LOC100689995	LG7:38970864-39160101
tbc1d1	LG6:18052861-18098898
LOC102080752	UNK218:54002-56968
LOC100699708	UNK107:494556-504427
LOC100691148	LG7:586713-605598
LOC100693609	LG12:9666741-9671511
LOC100699803	UNK376:85245-88643
riok3	LG3:7075919-7082118
LOC102076893	UNK200:154788-156846
LOC100690207	LG14:4325620-4338517
LOC100712467	UNK3:788679-832613
LOC100703794	LG5:10890661-10904942
LOC100711721	UNK3484:0-1600
PK	LG13:28457923-28464978
LOC100702831	LG22:9427506-9434968
LOC100694841	LG7:2068029-2091632
LOC100710474	LG15:26193209-26204020
LOC100690730	LG22:18860628-18862394
LOC100709546	LG4:4703851-4709154
LOC100704958	LG19:11254675-11334028
LOC102075727	LG11:31066382-31074171
LOC100692691	LG4:22246033-22268879
LOC100699455,LOC100699187	LG23:20283613-20333145
LOC100695904	UNK1:1125588-1129430
LOC100707920	LG4:2256055-2273480
LOC100703849	UNK113:516375-524700
LOC100706417	LG14:21019684-21023673
LOC100690069	LG17:9142689-9144001
LOC102079431	UNK1173:99-7044
LOC100703980	LG12:21550694-21557232
LOC102081691	UNK1008:455-1490
sgpl1	LG13:11936617-11945976
LOC100707217	LG12:24610822-24622324
LOC100708986	LG10:2199550-2222299
LOC100696553	LG12:17038310-17054690
LOC100694746	UNK3889:12-1357
LOC102081258	LG1:18997714-19048325
LOC100690182	LG1:12364883-12386589
LOC100711843	LG20:24397571-24410489
LOC100699927,LOC100692352	LG7:48189860-48211232
abl2	LG23:18925716-18951458
LOC100704324	LG15:23784618-23795389
LOC102077905	UNK111:322762-323786
LOC100708366	LG11:19551549-19554547
LOC102080755	UNK4013:9-1398
LOC102077289	LG6:18636583-18657181
LOC100704634	UNK10:1967566-1968502
LOC100699249	UNK113:36695-53093
LOC100692146	LG5:14902255-14926714
LOC102079166	LG23:86825-90733
LOC100694644	LG18:4297616-4300207
LOC100708998	LG15:10507774-10512500
LOC100700800	UNK495:31684-81231
LOC100701561	LG8_24:25529046-25533964
LOC100711766	LG12:15458187-15464670
LOC100700930	LG17:19203756-19212613
LOC102083152	LG8_24:5799778-5802306
LOC100696962	LG13:12897004-12910783
LOC102080737	UNK24:1668104-1669220
LOC100693814	LG16_21:12880630-12884768
LOC100696579	LG18:13635661-13638666
LOC100696072	LG4:19254409-19262978
rpap1	LG19:2214270-2234245
LOC102077375	LG5:28139263-28142409
LOC102075552	UNK71:726983-728645
LOC100699116,LOC100692347	LG16_21:21083148-21103904
LOC100704664	LG20:9440447-9450866
LOC102080927	LG16_21:6626106-6631369
LOC102083017	LG6:4960631-4964021
LOC100706898,LOC100706625	LG7:28803959-28872102
LOC100696788	LG2:7648775-7666727
LOC102078856	UNK936:7218-10867
LOC100700878	LG8_24:7918148-7960301
LOC100701092	LG2:20512000-20525121
LOC100700725	LG4:6977627-7014794
LOC100701898	LG4:25539766-25553570
LOC100706017	LG12:20759109-20807931
LOC100711990	UNK3489:628-1601
LOC100706832	UNK5:1444-10712
LOC102080355	UNK3397:178-1627
LOC100706613	LG13:56260-62900
LOC100691780	UNK1091:6471-8281
LOC100696597	LG13:13609093-13613655
LOC100703623	LG6:31903294-31905679
LOC102076621	LG12:10030628-10035498
LOC100694365	UNK22:1118193-1124320
LOC100711332	LG5:32344299-32358481
LOC100697047	LG14:22636343-22650453
LOC102079925	UNK594:8029-10478
LOC100697080	LG3:3452307-3453759
LOC100708873	LG8_24:15913450-15923001
ralgapb	LG20:22711722-22732518
LOC100699865	UNK19:1278796-1289144
LOC102078273	LG7:20383684-20386289
LOC102082528	UNK263:201061-209721
LOC100704358	LG3:2969225-3000628
LOC102081707	LG13:5497859-5498957
LOC100694291	UNK112:434553-465760
LOC102081531	UNK2117:405-3008
LOC100701150	UNK151:13290-70411
LOC100704718	UNK14:1779025-1780943
LOC102079427	UNK317:65319-66657
LOC100697953	LG10:12444331-12451014
LOC102078023	UNK2344:23-2520
LOC102076441	LG22:12633959-12636935
LOC100692517	LG14:9465590-9468778
LOC100692096	LG19:4151067-4197320
LOC102081457	UNK122:320091-322509
LOC102075951	UNK63:608707-611831
LOC100696504,LOC102076538	LG8_24:11275168-11312104
LOC100705889	LG14:20998074-21002671
LOC100710784	LG11:19901514-19917995
LOC100711073	LG20:5547663-5549691
LOC100702462	LG22:20821063-20841120
LOC100700456	LG19:9974399-9985300
LOC100691121	UNK8:1812062-1860587
LOC100696179	LG2:12785294-12787816
LOC102081347	LG12:29281786-29291529
LOC100708349	LG1:8219596-8222852
LOC100695293	LG2:8173063-8364836
LOC100702200	LG17:26542137-26563804
LOC100711587	LG11:19967146-19982317
LOC100694202	LG8_24:6386316-6395205
LOC100708672	UNK150:76374-104248
LOC102082331	LG22:9150226-9158445
LOC100701288	LG12:4627063-4637423
LOC100702695	LG9:17810932-17822308
LOC102080563	LG23:1288340-1321696
LOC100699774	LG1:16375850-16386511
LOC100701771	UNK56:124866-131328
rasal1,LOC100694413	LG12:9565022-9586216
LOC100706995,LOC100708242	LG14:11725763-11747854
LOC102076305	LG18:15878957-15890350
LOC100702047	UNK71:194082-199616
LOC102079704	LG8_24:28750829-28753033
LOC100693849	LG9:18583511-18585133
LOC100712312	LG12:25960514-25963418
LOC100703481	LG4:15128961-15133814
wdtc1	LG11:713257-722759
LOC102081598	LG2:17360350-17380160
LOC100707201	LG8_24:21273848-21284387
LOC100697066	LG22:2781969-2794894
LOC100708677	UNK325:4184-23806
LOC102078585	LG9:17975883-17986446
LOC102077708	UNK24:423364-429372
LOC100705682	LG2:23520836-23550900
LOC100701183	LG17:29538774-29545720
abca4,LOC100710535	LG9:5499518-5540004
LOC100702578	LG19:18457256-18466306
LOC100695313	LG15:13923910-13964717
LOC100691761,LOC100710628	LG1:4657939-4670664
LOC100694562	UNK121:315976-464492
LOC100692238	UNK475:41295-44627
LOC102075523	UNK1049:2010-7575
LOC102078566	LG5:3660269-3662390
LOC100711011	LG15:26228205-26260244
LOC100705330	UNK3:1390009-1394772
LOC100702843	UNK35:478906-498565
LOC102076562	LG14:8563992-8565622
LOC100704176	LG12:22477996-22485201
LOC100704892	LG11:27104583-27112866
LOC100702845	LG19:18471910-18478438
LOC102079628	LG11:390470-404434
LOC100696830	UNK32:959473-973633
LOC100698230	LG5:24596268-24609105
LOC102079844,LOC100699206	UNK3:3381660-3397723
LOC100708273	UNK4:2852113-2857368
LOC100693501,LOC100706263	LG7:38340725-38357805
LOC100698242,LOC102075943	LG6:14292684-14314871
LOC100703955	LG7:29499326-29504279
LOC100710365	UNK99:390462-392783
LOC100691500	LG18:9100834-9163388
LOC102077754	UNK3772:204-1477
LOC100699560	LG12:32562630-32565859
LOC100691669	LG11:9695504-9757241
LOC100707689	UNK356:85122-95345
LOC100693796	LG17:9806558-9824478
LOC100697185	LG5:28821540-28823480
LOC100694855	LG17:21554436-21557183
LOC100702728	LG6:20570056-20576301
LOC100704101	LG19:742365-746593
LOC100695516	LG6:35441947-35443669
LOC100697881	LG8_24:25265940-25344005
LOC100709846	LG20:7263915-7271522
LOC100702675	UNK59:229228-230038
LOC100709926,LOC102079002,lama3	LG18:11586757-11658217
LOC100699895	LG7:3062765-3069330
LOC100694282	UNK41:1126032-1140522
LOC100696921	LG7:24949561-24973816
LOC100691115	LG11:20383785-20406181
LOC102080610	LG4:12586737-12598365
LOC100704093	LG1:2162792-2205003
LOC102079292	UNK99:7657-9993
LOC102080132	UNK817:17-7078
LOC100709338	LG10:10147255-10153507
LOC100706884	UNK131:472681-477596
LOC100705536	UNK43:944658-967270
LOC100702018	LG6:8849354-8855128
LOC102082225	UNK84:212729-214475
LOC100692854	LG8_24:5210287-5225321
LOC100710543	UNK94:21164-46958
LOC102078052	UNK279:61113-63536
LOC100708792	LG2:10430709-10442543
LOC102077616	UNK2328:482-2205
LOC100701468	LG18:18472786-18482501
LOC100699725	UNK1909:115-2509
LOC100700449	LG5:17827178-17828882
LOC100694770	LG12:30153259-30175488
LOC100711316	LG17:26621791-26655209
rttn	LG9:9143399-9177367
LOC100700700	LG8_24:11468364-11490832
LOC100701374	LG6:29033927-29036398
LOC102082564	UNK840:8239-10516
LOC100696153	UNK300:22709-112323
LOC102078452,LOC100702091	LG20:28475094-28483068
LOC102078854	LG22:18772208-18774737
LOC100701139	UNK41:1181768-1184473
LOC100697348,LOC102075789	LG8_24:21629113-21769524
LOC100697933	LG1:9723336-9791405
LOC100712517	UNK237:86808-91886
LOC102079023	UNK2016:374-3248
LOC100690466	UNK3:3138428-3142707
LOC100697102	LG6:35641700-35670387
LOC100699423	LG12:33682904-33689204
LOC100707049	LG7:26839268-26852726
LOC102076442	LG23:20218623-20227749
LOC100695030	LG16_21:18897277-18905422
LOC100711435	LG18:7233566-7249800
LOC100702556	LG11:16748046-16752955
LOC102079476	UNK57:989260-990190
LOC102082688	UNK122:192314-196251
LOC100702874	LG7:41298351-41302693
LOC100691663	LG11:1740710-1749740
LOC102078204	UNK358:103029-104770
LOC102079595	LG6:14807410-14808568
LOC100697199	LG19:17473049-17579132
LOC100691402	LG8_24:1021190-1026803
LOC100711474	LG7:48523264-48533492
LOC100691172	LG8_24:14316194-14345871
LOC100690409	LG18:3560739-3575503
LOC100703402	LG20:6197201-6198877
LOC100693677	LG5:16122375-16124070
LOC100692719	UNK5:3321947-3325038
LOC100707176	LG23:5987806-5989866
LOC102083254	LG16_21:26415162-26417539
LOC100705748	LG2:7925805-7929559
LOC100697868,LOC100697597	LG2:18215912-18230938
LOC100711421	LG6:35556265-35567475
LOC100707803	LG13:30005364-30014587
LOC102078011	LG1:23492524-23493599
LOC100703887	LG19:15540283-15583419
LOC100689945	LG16_21:10873426-10878275
LOC102077162	UNK36:664098-670306
LOC102080694	UNK2062:589-2382
LOC100711324	UNK12:1650873-1660466
LOC100690112,LOC100689847	UNK3:1236424-1257958
LOC100706779	LG7:26819014-26838371
LOC100701953	UNK30:1526359-1541200
LOC100702484	UNK20:1254573-1255480
LOC100694672	LG19:7193220-7199985
LOC100701352	LG1:14853769-14858860
edem1	LG5:25122957-25136168
LOC100707916	LG6:13970314-13972617
LOC100695823	LG2:7932427-7937554
LOC100705456	LG13:6458149-6482255
LOC100705112	LG18:12517818-12526626
LOC100700396	LG4:1059351-1067829
LOC102077573	LG17:15452399-15460229
LOC100697250	LG1:7329214-7332762
LOC102079190	UNK3867:0-1445
LOC100705729	UNK277:21972-40123
LOC100703104	LG20:15739126-15867981
LOC100691567	LG5:33159047-33167112
LOC100696648,LOC100696384	UNK14:1483589-1522815
LOC102081375	UNK285:162266-163543
LOC100705457	UNK38:533843-546407
LOC100711456	LG4:18158013-18175992
LOC100701109	LG10:2091112-2101869
LOC100708170	LG5:25431661-25433340
LOC100696913	LG19:3317813-3324943
LOC100708614	LG13:30094324-30119213
LOC100711595	UNK12:1692942-1706174
LOC100699628	UNK231:279741-288461
LOC100701026	LG12:23283488-23291922
bbs4	LG1:576819-590057
LOC100690364	LG4:23089861-23100452
LOC102077476,LOC102076719	UNK123:320260-384385
LOC100711975	LG18:7049683-7131313
LOC100692528,LOC100692797	LG1:8677532-8689284
LOC100692086	LG22:20800079-20802107
LOC102082951	LG1:11675058-11676623
kntc1	LG12:16827597-16856904
brip1	LG14:1052513-1096286
LOC102077663	UNK110:206785-221485
LOC100705175	UNK11:1143346-1160820
cdan1	LG19:7983413-7996713
LOC100706372,LOC100706640	LG9:9509693-9520982
LOC100705319	LG2:16518889-16540437
LOC100692985	LG22:5717011-5725151
LOC100689976	LG18:10975567-10991739
LOC100709648,LOC102075798	UNK70:71757-80075
LOC102080354	UNK2869:76-1398
LOC102081764	LG5:26549284-26553629
LOC100693963	LG2:16307299-16310489
LOC100700465	LG17:27078124-27089689
LOC100705064	LG10:11143142-11147499
LOC100693892	LG11:19936492-19952049
LOC100696740	LG6:18969693-19004964
LOC102082152	LG16_21:3160482-3163815
LOC100698163	UNK10:1440557-1448761
LOC100693093	LG11:19785495-19800703
LOC100701914	LG4:12975653-13010691
LOC102079368	LG2:20442093-20451256
LOC100710669	UNK3:2647328-2652734
gtpbp2	UNK169:9979-70502
LOC100693722	LG11:9301523-9356989
LOC100696005	LG22:2722174-2740370
LOC100696222	LG17:9179111-9182025
LOC102079602	LG23:2192392-2210246
LOC100696360	LG10:9134215-9173028
LOC100704645,LOC100704915	LG2:20277536-20285340
LOC102077966	UNK85:305743-308156
LOC100700597	LG15:9096660-9113669
LOC102077811	UNK79:813065-815905
LOC100708414	LG15:19798615-19799156
LOC100690339	LG14:33288672-33289735
tpi	LG11:19455289-19460271
LOC102076156	LG14:28815199-28818872
LOC102080753	UNK1680:1980-4214
LOC102082803	LG16_21:12157124-12166276
LOC100691478	LG10:16813654-16815447
LOC102079081	LG20:12731323-12741403
LOC102077422	UNK3172:3-1706
atp7a,LOC100705454	LG2:20175898-20203046
LOC100700794	UNK242:116726-131374
LOC100698408	LG6:19531527-19536616
LOC100695860	LG8_24:29017509-29028501
LOC102082169	UNK552:46405-59385
LOC100690429	UNK237:201056-206270
LOC100701732	UNK2:35080-35869
LOC102081673	UNK42:392376-395771
LOC102081414	UNK33:1064559-1065433
LOC100692844	UNK87:475860-477561
LOC102076632	UNK194:299838-305249
LOC102081307	LG19:14951697-14952954
LOC100701432	UNK612:58-7943
LOC100706679,LOC100691561	LG8_24:27331084-27340272
LOC100699949	LG6:17927000-17976246
LOC100703593	UNK4737:133-1208
LOC100693759	LG9:13492945-13599124
LOC100698943	LG16_21:16495050-16549754
LOC102077040	LG18:9369246-9374226
LOC100704515	LG12:28050875-28052416
LOC100695858	LG19:3412733-3417895
LOC100699526,LOC100699251,LOC102080263	LG18:5404937-5445618
LOC100692713,LOC102077793	LG2:711547-722502
LOC100698182	UNK113:182394-185156
LOC102076007	UNK459:97734-98543
LOC100694386	LG3:2993-12926
LOC102081392	UNK24:472909-477006
LOC100698927	LG14:13191218-13206480
LOC100706919	LG2:10174555-10187615
LOC100703030	LG6:629543-633252
LOC100695505,LOC100695242	LG19:1636956-1650494
LOC100695364	UNK298:77938-92006
LOC100700258	UNK495:1157-16012
LOC100692966	LG4:22485467-22491047
LOC102076845	LG13:6370410-6372214
LOC100694333	LG12:18570647-18578728
LOC100706718	UNK2152:1634-2941
LOC100695893	UNK226:1924-7352
LOC100708798,LOC100706123	LG10:10925849-10936596
LOC100701542	LG11:11872728-11884594
LOC102078331	UNK153:190499-194373
LOC100702552	LG15:15392704-15441798
LOC100707796	LG4:23938398-23945204
LOC100696789,LOC102076931	LG22:16470892-16538097
LOC100691554	LG16_21:10344698-10347098
LOC100704356	LG14:25334634-25347511
LOC102081335	LG18:4709103-4714608
LOC100698593	LG14:28970229-28981378
LOC100694348	LG15:16628092-16654490
LOC100705972	LG2:20162903-20166511
LOC102081633,LOC102081529	UNK548:32206-48587
LOC100702377	LG11:16886880-16892716
LOC102077196	UNK66:905792-909509
LOC102081399	UNK80:810953-812957
LOC100701975	UNK377:25848-37189
LOC102076134	LG17:10839036-10840995
LOC100710227	LG4:9027980-9041872
LOC102081522	LG15:19521717-19522655
LOC100711213	UNK4:3387278-3419552
LOC100699203	LG4:13752361-13770415
LOC102081453	LG20:19435095-19440165
LOC102080447	UNK197:7935-8946
LOC100697725	LG16_21:9240423-9276127
LOC102080458	LG10:1398640-1399761
LOC100702312	UNK66:288347-290879
LOC100708604	LG8_24:16020626-16039653
LOC100696651	LG14:1133477-1160180
LOC100708984	LG8_24:26962539-26969924
LOC100695721	UNK766:17669-20114
LOC100694356	LG12:14798625-14812720
LOC100707274	LG13:29913168-29921287
LOC100691858	UNK168:63579-80963
LOC100707684	LG13:456772-502024
LOC102076569	LG19:16871794-16874894
LOC100706579,LOC102075538	UNK14:41428-62545
prlr	LG7:16946127-16966489
LOC100701806	LG5:17534123-17538355
LOC100708776	LG13:17454384-17461860
LOC100703867	LG7:41166117-41170656
LOC100700728	LG22:13318892-13321306
LOC102076273	UNK249:78798-86143
LOC100706419	UNK30:1228216-1242610
LOC100707975	LG1:13139001-13151685
LOC102078490	UNK121:212424-214344
LOC100711275	UNK1:2623190-2633422
synj1	LG10:12467593-12494958
LOC102082373	UNK318:188783-190359
LOC100694266,LOC100700671	LG11:8840549-8878813
LOC102079891	UNK349:4501-68994
LOC100704344	LG10:11179574-11189464
LOC100697698	LG20:21668987-21677611
LOC102083072	LG7:35129583-35134369
LOC100692213	LG15:8934832-8939506
LOC100706059	UNK35:887878-914038
LOC102077271	UNK139:389228-394232
LOC100696868	LG4:16974310-16998533
LOC102079189	UNK3296:7-1681
LOC100704048	LG7:8238988-8298172
LOC100705564	UNK3046:150-1823
LOC100707067	LG7:38303190-38326100
LOC102076299,LOC100698616	UNK22:1187159-1210619
LOC100701129	LG1:16519787-16527027
LOC102081306	LG16_21:11744484-11754295
LOC100696659	LG16_21:8060983-8065221
LOC100698612	LG15:11894421-11912930
LOC100692538,LOC100692807,LOC100692267	LG6:31155833-31192395
LOC100695995	LG13:28382713-28396575
ephb2	LG5:20674929-20797745
LOC102079743	LG16_21:27850297-27852828
LOC100708473	LG12:13502705-13508396
LOC102080805	LG19:6592543-6594427
LOC102080031	LG13:25512981-25524133
LOC102081961	UNK72:188287-218884
LOC100695818	LG5:9884132-9888104
LOC100711752	LG5:20869543-20878147
LOC100712175	LG7:37688531-37712063
LOC100709427	LG12:10130049-10134390
LOC100691009	LG5:23921063-23935546
LOC100699044	LG7:16278772-16297116
dus1l	LG4:13462844-13476570
LOC100701605	UNK189:333018-336036
LOC100692398,pop1	LG11:2853336-2869365
LOC100699171	LG1:18147084-18169449
LOC100701641	LG4:10123338-10134274
LOC100690796	LG7:865508-872038
LOC100695419	LG6:3061737-3084252
LOC100695680	LG11:626934-631676
LOC100695021	LG16_21:29168012-29191285
LOC100690969	UNK143:82894-102504
LOC100710950	LG14:17715656-17719603
LOC100689984	UNK254:88302-132813
kcnb2	LG9:9522671-9612119
LOC102077411	UNK87:112050-127891
LOC100698339	LG12:23427063-23437099
LOC100705740	LG13:15588063-15596037
LOC102082677	LG6:24660929-24663259
LOC100692681	UNK2470:3-2377
loxl4	LG13:19320408-19345312
LOC100697008,LOC100708281	LG6:17102841-17114546
LOC100706490	LG12:22264053-22275389
LOC100693077	UNK3:1999798-2013052
LOC100707949	LG22:25730160-25743179
LOC100706697	LG13:7843930-7869308
znf142,LOC100691587	LG16_21:34515306-34529030
LOC100708335	LG5:12298143-12321228
LOC100701067	LG9:11706397-11712357
LOC100705245	LG11:16330360-16331514
LOC100707006	LG22:20383928-20461375
LOC100709862	LG4:18761834-18774477
LOC100697531	LG17:6900385-6993618
LOC100703603	LG16_21:31073231-31084966
LOC100706497	LG7:36338138-36343309
LOC100696493	LG14:33810072-33818366
LOC100691611	LG8_24:18563898-18603435
LOC102075509	LG16_21:1558810-1597691
LOC100702384	UNK13:1393196-1400948
pgm	LG6:28269698-28272952
LOC102080137	LG20:22648159-22651038
LOC100691069	LG13:14072416-14113133
LOC100709712	LG3:11087014-11099632
LOC102077963	LG19:746604-753364
LOC100708212	LG3:5152482-5159088
LOC100706125	LG7:50124336-50128552
LOC100711089	UNK1477:50-4209
LOC100698682	UNK6:1216204-1219881
LOC100705312	LG5:10918626-10925366
LOC100705885	LG6:25570668-25577044
LOC100712537	LG16_21:33343235-33394736
LOC100699492	LG3:2418673-2419728
LOC100706021	UNK2:806483-817629
LOC100696630	LG14:29447614-29453616
LOC102081639	LG5:35855920-35857223
LOC100706265	LG13:15452902-15458138
LOC100691955	LG14:33444749-33461080
oplah	LG9:8185969-8198209
LOC100704671	LG7:38469978-38485293
LOC100705267	LG12:14552570-14560043
LOC102077844	UNK278:189302-194130
LOC100693832	UNK64:725689-731252
LOC102077711,LOC100707397	UNK35:1090843-1099680
LOC102075906,LOC102075823	UNK9:851-55258
LOC102076232,LOC100694467	LG8_24:6088456-6202079
LOC100706692	LG6:188196-240223
LOC100710116	UNK967:27-3571
LOC100707345	LG16_21:32105295-32109680
LOC100691937	LG11:9661997-9689681
LOC100689865	LG12:15417108-15428575
LOC100690904	LG15:20448941-20472063
LOC100710511	LG16_21:4698133-4705349
LOC102077314	LG1:16398544-16405438
LOC100695123	LG17:31062495-31124873
LOC102077089	LG12:30151215-30152135
LOC100712224	LG6:32804377-32835080
LOC102075504	UNK3066:19-1269
LOC100708936	LG20:4749571-4754086
LOC100712462	LG15:3320810-3325221
LOC102082812	LG11:2532071-2535464
papss2	LG13:22348567-22362618
LOC102080010	UNK77:571475-574028
LOC100704444	LG5:35401274-35403505
LOC100694338	LG6:20973601-20983203
